epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3052,1.37894,4.73444,0.69742,4.17852,1.56197,0.02151,0.8,0.08771,0.05924,0.00691,0.4,0.04462,0.0187,0.74638,4.48608,0.67098,3.57749,1.116,0.000108735,0.000108735,0.000108735
2,35.4136,0.91722,3.60942,0.70233,3.8123,1.24387,0.03044,1,0.3187,0.22956,0.02642,0.9,0.3013,0.15944,0.73423,3.05208,0.65237,3.30913,1.12258,0.000217559,0.000217559,0.000217559
3,45.0323,0.9401,2.79171,0.69365,3.34425,1.24818,0.35088,0.5048,0.33697,0.25133,0.56317,0.29971,0.28722,0.17556,0.88074,2.4974,0.64406,2.88904,1.26486,0.000324186,0.000324186,0.000324186
4,58.6082,0.94264,2.31809,0.67928,2.89358,1.23885,0.43012,0.65,0.41171,0.28747,0.43012,0.65,0.37855,0.18539,0.91121,2.56298,0.64093,2.50116,1.24293,0.00032311,0.00032311,0.00032311
5,72.2184,0.91736,2.17493,0.67056,2.63188,1.21669,0.37174,0.80648,0.70423,0.51882,0.37174,0.80648,0.70423,0.38232,0.88887,2.17401,0.61074,2.1315,1.24805,0.000319813,0.000319813,0.000319813
6,83.0146,0.90317,1.94744,0.66077,2.42201,1.19708,0.39,0.7465,0.62906,0.46601,0.34533,0.75428,0.61204,0.32596,0.95196,2.27519,0.5928,1.88901,1.31413,0.000316517,0.000316517,0.000316517
7,93.9253,0.86979,1.7617,0.63883,2.26802,1.172,0.46303,0.89134,0.6938,0.52234,0.4327,0.871,0.65685,0.38448,0.82633,2.075,0.58938,1.83687,1.22215,0.00031322,0.00031322,0.00031322
8,108.676,0.85014,1.68993,0.62498,2.15624,1.16394,0.43591,0.8503,0.6724,0.49558,0.41575,0.8378,0.65059,0.38671,0.90188,1.90398,0.57467,1.65702,1.27187,0.000309923,0.000309923,0.000309923
9,118.142,0.81105,1.53957,0.6059,2.01949,1.15702,0.362,0.87198,0.61407,0.47268,0.362,0.87198,0.61407,0.36819,0.86827,1.70863,0.55029,1.67378,1.21609,0.000306626,0.000306626,0.000306626
10,130.055,0.78497,1.51211,0.58717,1.89595,1.12421,0.36133,0.86746,0.7442,0.55126,0.36133,0.86746,0.7442,0.44049,1.06179,1.85166,0.50924,1.67302,1.36447,0.00030333,0.00030333,0.00030333
11,142.428,0.78593,1.39162,0.57017,1.83891,1.11553,0.41589,0.85453,0.72791,0.55866,0.40378,0.84203,0.70983,0.43884,0.8959,1.82493,0.48697,1.77798,1.27248,0.000300033,0.000300033,0.000300033
12,151.965,0.74943,1.3851,0.55112,1.74872,1.10432,0.51328,0.87863,0.7848,0.61092,0.51328,0.87863,0.7848,0.50052,0.91808,1.58254,0.46012,1.5085,1.25543,0.000296736,0.000296736,0.000296736
13,164.213,0.75267,1.25132,0.5368,1.71418,1.11136,0.55336,0.91841,0.79177,0.61446,0.5449,0.90996,0.77986,0.5539,0.8902,1.5056,0.43138,1.31732,1.24023,0.00029344,0.00029344,0.00029344
14,176.539,0.74451,1.16317,0.52208,1.63245,1.09661,0.4679,0.91036,0.82812,0.64876,0.4679,0.91036,0.82812,0.57406,1.01137,1.34833,0.41331,1.3299,1.36298,0.000290143,0.000290143,0.000290143
